City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Port Lincoln,AU,-34.7333,135.8667,64.89,83,100,4.41,overcast clouds
315,Aksarka,RU,66.5606,67.7975,-9.11,100,91,3.09,overcast clouds
316,Kozmodemyansk,RU,56.3367,46.5711,25.27,89,10,3.96,clear sky
317,Nishihara,JP,26.1842,127.7558,71.65,97,75,19.57,broken clouds
318,Iqaluit,CA,63.7506,-68.5145,2.93,71,75,3.44,broken clouds
319,Ambilobe,MG,-13.2,49.05,75.42,94,57,2.24,broken clouds
320,Svetlaya,RU,46.5389,138.3297,19.51,76,95,9.46,overcast clouds
321,Pacific Grove,US,36.6177,-121.9166,65.8,73,0,11.01,clear sky
322,Zaraza,VE,9.3503,-65.3245,94.93,31,100,5.12,overcast clouds
323,Yanam,IN,16.7333,82.2167,79.3,92,96,4.36,overcast clouds
324,Kawalu,ID,-7.3817,108.2082,71.98,90,100,2.84,overcast clouds
325,Saint-Pierre,RE,-21.3393,55.4781,80.28,87,100,16.11,overcast clouds
326,Mormugao,IN,15.4,73.8,81.66,74,40,4.61,scattered clouds
327,Katsuura,JP,35.1333,140.3,52.41,72,100,11.81,light rain
328,El Vigia,VE,8.6219,-71.6506,87.84,60,89,1.63,overcast clouds
329,San Cristobal,VE,7.7669,-72.225,77.18,48,37,5.99,scattered clouds
330,Mankapur,IN,27.0333,82.2333,77.31,19,0,8.5,clear sky
331,Leningradskiy,RU,69.3833,178.4167,2.8,88,99,7.36,overcast clouds
332,Ciudad Bolivar,VE,8.1222,-63.5497,93.61,30,93,8.43,overcast clouds
333,Mubi,NG,10.2676,13.2644,88.23,7,100,3.85,overcast clouds
334,Te Anau,NZ,-45.4167,167.7167,50.76,91,78,0.96,light rain
335,Faratsiho,MG,-19.4,46.95,58.23,96,100,3.96,overcast clouds
336,Kenai,US,60.5544,-151.2583,27.03,86,0,0.0,clear sky
337,Beringovskiy,RU,63.05,179.3167,23.7,94,100,12.73,overcast clouds
338,Rusera,IN,25.75,86.0333,79.65,20,6,2.04,clear sky
339,Cedar Rapids,US,42.0083,-91.6441,74.88,30,0,19.57,clear sky
340,High Point,US,35.9557,-80.0053,69.35,31,0,3.0,clear sky
341,Cayenne,GF,4.9333,-52.3333,84.24,1,75,10.36,broken clouds
342,Bandar-E Lengeh,IR,26.5579,54.8807,71.71,73,3,4.61,clear sky
343,Nagpandayan,PH,15.5997,120.766,74.75,86,100,3.71,overcast clouds
344,Nuevo Progreso,MX,23.1667,-97.95,84.88,50,5,3.0,clear sky
345,Nizwa,OM,22.9333,57.5333,71.89,30,0,7.36,clear sky
346,Cairns,AU,-16.9167,145.7667,75.15,90,14,3.44,few clouds
